SP500,AAPL,AMZN,FB,GOOG,MSFT
2363.6101,143.68,888.55,141.94,829.41,65.81
2364.1001,143.7,887.1173,141.8625,833.1,65.775
2362.6799,143.6901,887.5110000000001,141.91,835.9184,65.705
2364.3101,143.64,886.27,141.87,833.62,65.715
2364.8501,143.66,886.58,141.78,835.32,65.7
2365.6201,143.78,886.8,141.9286,835.14,65.797
2365.2,143.864,887.31,142.15,835.3,65.795
2365.29,143.81,888.5997,142.06,835.8,65.81
2364.3201,143.815,889.8,142.15,836.32,65.78
2364.6399,143.8,888.845,142.07,836.705,65.7351
2364.5801,143.89,890.22,142.0451,836.715,65.73
2364.48,143.97,891.1469999999999,142.0733,836.76,65.81
2365.23,143.9199,890.47,142.06,836.0825,65.7701
2365.6599,144.0239,891.45,142.14,836.97,65.81
2365.24,144.05,891.79,142.2172,836.88,65.8
2365.3201,144.0638,891.12,142.22,836.72,65.81
2364.96,144.02,891.23,142.26,836.515,65.8
2364.3999,144.02,890.3869,142.13,835.88,65.74
2364.74,143.97,890.14,142.07,835.9975,65.6931
2363.9399,144.03,890.45,142.06,836.29,65.73
2363.8799,143.98,889.99,142.04,836.3,65.69
2363.6001,143.9,889.71,141.95,835.895,65.69
2364.04,143.91,890.225,141.98,836.1,65.6925
2363.8301,143.91,890.4885,142.0053,835.875,65.735
2363.8501,143.86,890.75,142.05,835.67,65.68
2363.03,143.86,891.03,142.005,835.4,65.675
2363.25,143.8935,890.5709,141.97,834.97,65.675
2362.8701,143.93,890.18,141.9,835.09,65.69
2363.03,143.95,889.84,141.83,835.03,65.69
2363.0601,143.87,890.29,141.89,834.73,65.7
2363.9399,143.85,890.11,141.87,834.465,65.72
2363.6101,143.91,890.42,141.9134,835.12,65.76
2363.47,143.91,890.87,142.06,834.94,65.76
2363.74,143.93,890.28,142.04,835.16,65.81
2363.4099,144.0,890.46,142.04,835.19,65.81
2362.51,144.05,890.85,142.11,835.385,65.78
2359.95,143.97,890.32,141.97,834.95,65.745
2359.3999,143.82,889.21,141.85,834.45,65.67
2359.52,143.7627,888.72,141.8318,834.3225,65.6844
2359.77,143.76,888.6,141.835,834.2,65.7
2357.8799,143.73,888.51,141.88,834.465,65.705
2358.3201,143.62,887.91,141.76,834.07,65.63
2357.97,143.56,887.65,141.72,833.841,65.645
2358.8701,143.58,888.0,141.7298,833.4,65.635
2358.9099,143.77,888.5,141.82,834.045,65.69
2359.01,143.709,889.2799,141.7,834.23,65.65
2359.1799,143.68,889.35,141.69,834.0,65.65
2359.96,143.75,889.58,141.7,834.055,65.65
2359.9199,143.8393,890.14,141.8,834.6461,65.71
2359.8101,143.82,891.1499,141.78,834.755,65.705
2359.5801,143.89,890.99,141.7972,834.58,65.705
2359.9399,143.8,891.25,141.76,834.52,65.675
2360.78,143.8101,891.5078,141.7566,834.805,65.71
2360.46,143.84,891.669,141.755,835.035,65.7
2360.6799,143.815,892.0,141.77,834.795,65.665
2361.73,143.87,892.1397,141.77,834.7642,65.66
2361.5901,143.97,892.545,141.785,835.06,65.73
2361.8601,143.95,891.89,141.68,834.96,65.73
2361.25,143.94,892.55,141.7,835.07,65.755
2361.3401,143.9,892.56,141.65,835.48,65.72
2361.8899,143.97,892.43,141.6,834.96,65.69
2360.99,143.995,892.12,141.62,834.86,65.7
2360.72,143.9547,891.2822,141.54,834.55,65.69
2360.5701,143.95,891.448,141.43,834.25,65.68
2360.8301,143.94,890.88,141.44,833.965,65.65
2360.4299,143.86,890.29,141.444,834.3,65.665
2360.24,143.9047,890.7292,141.46,834.175,65.635
2360.5,143.9344,890.465,141.5,834.455,65.64
2360.1899,143.945,890.12,141.44,834.56,65.66
2360.5801,143.94,890.3126,141.31,834.09,65.66
2359.1699,143.98,890.42,141.27,834.23,65.645
2359.1699,143.91,889.8560000000001,141.33,833.88,65.63
2359.3,143.93,889.7,141.386,833.89,65.6457
2359.1101,144.0,890.06,141.3707,833.855,65.66
2359.25,143.98,889.72,141.42,833.855,65.65
2359.74,143.9906,889.8548,141.42,833.95,65.65
2359.79,144.01,890.7660000000001,141.47,833.9,65.68
2359.3201,143.97,891.0,141.43,833.81,65.65
2358.75,143.9763,891.01,141.45,833.94,65.65
2358.55,143.94,890.38,141.44,833.46,65.61
2356.97,143.935,890.17,141.405,833.65,65.5996
2356.6399,143.84,889.8547,141.33,833.28,65.55
2355.48,143.84,889.83,141.3265,833.45,65.57
2354.4099,143.805,889.22,141.23,833.295,65.53
2354.76,143.79,889.0,141.2093,833.25,65.51
2353.9299,143.79,889.35,141.2,833.56,65.52
2353.25,143.7501,889.28,141.15,833.04,65.48
2353.8,143.84,889.39,141.255,833.46,65.49
2352.8899,143.8023,889.405,141.26,833.22,65.48
2352.21,143.73,889.0,141.18,833.065,65.45
2352.49,143.7,888.6006,141.11,832.91,65.41
2353.3401,143.639,887.89,141.19,831.84,65.41
2353.55,143.69,888.93,141.18,832.51,65.43
2353.0,143.7,888.98,141.16,832.4631,65.423
2352.7,143.6135,888.52,141.1,832.66,65.41
2351.6399,143.57,888.64,141.12,832.43,65.41
2349.3301,143.53,887.79,141.0873,831.56,65.365
2348.1001,143.34,886.9589,140.929,830.75,65.27
2348.72,143.285,886.28,140.9,830.52,65.24
2349.3,143.33,885.62,140.88,830.735,65.25
2350.2,143.37,886.422,140.8977,831.2,65.25
2349.9399,143.44,887.5,140.95,831.4442,65.28
2349.6899,143.48,887.58,140.95,831.22,65.28
2349.26,143.4,887.79,140.94,831.02,65.285
2350.1399,143.399,887.18,140.92,830.7,65.28
2351.9199,143.49,887.35,140.93,830.88,65.3
2351.74,143.62,888.3,141.16,831.58,65.39
2351.23,143.54,887.96,141.11,831.95,65.37
2350.8701,143.5956,888.1421,141.09,832.05,65.35
2349.8701,143.5662,888.21,141.0456,831.6108,65.3657
2349.8301,143.47,887.7267,140.98,831.41,65.33
2349.52,143.52,887.6776,141.01,831.49,65.3347
2350.6201,143.47,887.71,140.95,831.27,65.34
2351.8501,143.49,888.2,141.0352,831.29,65.38
2352.1299,143.61,888.9528,141.1199,831.39,65.415
2351.5901,143.64,889.43,141.19,832.31,65.45
2351.95,143.632,889.365,141.19,832.38,65.38
2351.1899,143.6301,889.2795,141.23,832.42,65.3638
2351.22,143.59,889.13,141.265,832.51,65.36
2351.3601,143.6,889.07,141.29,832.46,65.365
2351.96,143.6,889.17,141.29,832.365,65.3886
2351.3501,143.634,889.8,141.375,832.7718,65.41
2351.02,143.58,889.08,141.31,832.9,65.385
2351.1201,143.6,888.96,141.305,832.88,65.36
2350.3601,143.62,889.04,141.33,833.2399,65.39
2350.03,143.585,888.68,141.29,832.52,65.3646
2350.48,143.525,888.52,141.29,832.55,65.35
2350.1001,143.51,889.08,141.33,832.955,65.355
2351.03,143.54,888.945,141.31,832.84,65.36
2350.6499,143.57,889.31,141.35,833.02,65.3938
2350.8201,143.56,888.86,141.34,833.25,65.3838
2351.01,143.6,889.11,141.35,833.21,65.41
2350.98,143.6343,889.1292,141.34,833.29,65.439
2350.73,143.64,889.5,141.33,833.1801,65.435
2350.73,143.585,889.4,141.315,832.9839999999999,65.43
2350.6599,143.59,889.36,141.3,833.07,65.4311
2350.03,143.575,889.335,141.32,833.1353,65.41
2350.0801,143.5239,888.25,141.32,832.98,65.38
2349.75,143.58,888.475,141.35,833.19,65.4
2348.5601,143.5,888.33,141.24,832.81,65.365
2348.45,143.49,888.25,141.22,832.33,65.34
2349.05,143.475,888.64,141.25,832.525,65.35
2349.21,143.47,887.99,141.26,832.81,65.385
2348.1399,143.43,888.02,141.22,832.8,65.385
2348.45,143.35,887.4203,141.16,832.525,65.36
2348.01,143.3301,887.5799,141.1962,832.45,65.365
2348.1299,143.33,887.6112,141.17,832.26,65.38
2349.23,143.33,887.68,141.2,832.09,65.4
2349.1101,143.44,888.19,141.25,832.62,65.4343
2348.5801,143.39,888.3,141.23,832.47,65.395
